Планета;Звезда;Уточненная природа;Масса(Me);Радиус(Re);Плотн(г/см3);Т-ра(K);Период(дн);Орбита(а.е.);PRI;ESI;Статус ИИ;Надёжность ИИ
Kepler-1288 b;Kepler-1288;Раскаленный каменистый мир;1.88;1.12;7.39;1518;2.76;0.041;0.662;0.255;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1073 d;Kepler-1073;Раскаленный каменистый мир;3.71;1.49;6.21;1369;2.50;0.035;1.000;0.256;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1193 b;Kepler-1193;Раскаленный каменистый мир;2.93;1.32;7.01;1429;2.83;0.040;0.796;0.256;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-115 b;Kepler-115;Раскаленный каменистый мир;1.72;1.09;7.32;1523;2.40;0.036;0.667;0.256;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1037 b;Kepler-1037;Раскаленный каменистый мир;2.44;1.28;6.42;1439;1.06;0.019;0.903;0.257;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-500 b;TOI-500;Раскаленный каменистый мир;1.42;1.17;4.94;1480;0.55;0.012;0.833;0.258;Оригинал;Оригинал
Kepler-140 Ab;Kepler-140 A;Раскаленный каменистый мир;3.65;1.38;7.66;1390;3.25;0.045;0.682;0.259;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1800 b;Kepler-1800;Раскаленный каменистый мир;1.38;1.00;7.70;1533;4.56;0.059;0.560;0.261;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-915 b;Kepler-915;Раскаленный каменистый мир;4.64;1.50;7.58;1332;4.59;0.058;0.729;0.261;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 217786 Ac;HD 217786 A;Раскаленный каменистый мир;1.24;0.99;7.02;1522;2.50;0.036;0.696;0.262;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-97 b;Kepler-97;Раскаленный каменистый мир;3.51;1.48;5.97;1327;2.59;0.036;0.954;0.263;Оригинал;Оригинал
K2-85 b;K2-85;Раскаленный каменистый мир;3.20;1.40;6.43;1353;0.68;0.013;0.934;0.264;Оригинал;Оригинал
Kepler-280 b;Kepler-280;Раскаленный каменистый мир;3.31;1.45;5.97;1335;2.14;0.032;0.963;0.264;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1149 Ab;Kepler-1149 A;Раскаленный каменистый мир;3.22;1.43;6.01;1338;3.73;0.047;0.974;0.264;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1141 b;Kepler-1141;Раскаленный каменистый мир;0.77;0.82;7.65;1419;2.34;0.035;0.508;0.264;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-763 b;Kepler-763;Раскаленный каменистый мир;2.41;1.22;7.30;1412;1.20;0.021;0.709;0.265;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-97 Ab;Kepler-97 A;Раскаленный каменистый мир;3.50;1.48;5.95;1313;2.59;0.036;0.950;0.266;Оригинал;Оригинал
HD 134060 b;HD 134060;Раскаленный каменистый мир;3.39;1.37;7.30;1351;3.27;0.044;0.751;0.266;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-756 b;Kepler-756;Раскаленный каменистый мир;1.51;1.12;5.90;1429;1.22;0.021;0.959;0.269;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-2290 b;TOI-2290;Раскаленный каменистый мир;1.59;1.17;5.46;1406;0.39;0.009;0.937;0.270;Оригинал;Оригинал
Kepler-1578 b;Kepler-1578;Раскаленный каменистый мир;1.40;1.04;6.87;1457;1.45;0.024;0.741;0.271;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-286 b;Kepler-286;Раскаленный каменистый мир;2.37;1.24;6.86;1360;1.80;0.028;0.804;0.273;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1351 b;Kepler-1351;Раскаленный каменистый мир;0.38;0.65;7.57;1251;0.92;0.016;0.455;0.274;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1579 Ab;Kepler-1579 A;Раскаленный каменистый мир;0.59;0.84;5.51;1370;0.85;0.016;0.943;0.275;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-755 Ab;Kepler-755 A;Раскаленный каменистый мир;3.17;1.41;6.23;1284;1.27;0.022;0.976;0.276;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1395 b;Kepler-1395;Раскаленный каменистый мир;0.72;0.80;7.79;1341;3.78;0.050;0.473;0.276;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-301 b;Kepler-301;Раскаленный каменистый мир;3.36;1.35;7.53;1295;2.51;0.035;0.699;0.278;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1412 b;Kepler-1412;Раскаленный каменистый мир;0.76;0.83;7.33;1348;3.61;0.047;0.577;0.278;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1055 b;Kepler-1055;Раскаленный каменистый мир;2.56;1.23;7.59;1330;2.30;0.034;0.654;0.279;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-168 b;Kepler-168;Раскаленный каменистый мир;4.22;1.46;7.47;1249;4.43;0.054;0.741;0.279;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1011 b;TOI-1011;Раскаленный каменистый мир;4.04;1.45;7.30;1244;2.47;0.035;0.772;0.281;Оригинал;Оригинал
Kepler-187 b;Kepler-187;Раскаленный каменистый мир;3.17;1.41;6.23;1254;4.94;0.059;0.975;0.282;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-932 b;Kepler-932;Раскаленный каменистый мир;3.52;1.37;7.54;1268;1.92;0.029;0.703;0.282;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1573 b;Kepler-1573;Раскаленный каменистый мир;2.46;1.20;7.84;1326;2.62;0.037;0.595;0.282;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1594 b;Kepler-1594;Раскаленный каменистый мир;1.62;1.06;7.49;1382;2.72;0.039;0.623;0.282;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 2030 b;GJ 2030;Раскаленный каменистый мир;1.61;1.18;5.44;1334;2.38;0.034;0.931;0.282;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1525 b;Kepler-1525;Раскаленный каменистый мир;1.01;0.91;7.39;1361;2.42;0.036;0.593;0.283;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 22946 b;HD 22946;Раскаленный каменистый мир;2.61;1.36;5.69;1262;4.04;0.051;0.929;0.283;Оригинал;Оригинал
KOI-7051 b;2MASS J20052510+4431298;Раскаленный каменистый мир;1.48;1.19;4.88;1314;0.77;0.014;0.815;0.285;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-301 Ab;Kepler-301 A;Раскаленный каменистый мир;2.81;1.35;6.36;1253;2.51;0.035;0.933;0.286;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-219 b;K2-219;Раскаленный каменистый мир;3.06;1.35;6.88;1252;3.90;0.049;0.829;0.286;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-299 b;Kepler-299;Раскаленный каменистый мир;2.75;1.32;6.58;1261;2.93;0.040;0.881;0.286;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1575 b;Kepler-1575;Раскаленный каменистый мир;2.96;1.31;7.26;1264;2.55;0.036;0.743;0.286;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-36 Bb;K2-36 B;Раскаленный каменистый мир;3.90;1.43;7.27;1220;1.42;0.023;0.773;0.287;Оригинал;Оригинал
HD 38677 e;HD 38677;Раскаленный каменистый мир;3.79;1.47;6.57;1205;5.52;0.065;0.924;0.287;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-520 Ac;Kepler-520 A;Раскаленный каменистый мир;1.75;1.06;8.00;1351;5.21;0.061;0.524;0.288;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1905 b;Kepler-1905;Раскаленный каменистый мир;3.85;1.45;7.01;1212;3.42;0.045;0.830;0.288;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1278 b;Kepler-1278;Раскаленный каменистый мир;1.36;1.01;7.27;1369;3.24;0.044;0.651;0.289;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-380 b;Kepler-380;Раскаленный каменистый мир;2.34;1.19;7.66;1295;3.93;0.052;0.629;0.289;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1434 b;Kepler-1434;Раскаленный каменистый мир;1.97;1.11;7.95;1325;8.05;0.089;0.547;0.289;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1537 b;Kepler-1537;Раскаленный каменистый мир;1.86;1.18;6.23;1287;1.44;0.023;0.912;0.291;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-537 b;Kepler-537;Раскаленный каменистый мир;4.00;1.41;7.86;1207;3.25;0.044;0.650;0.291;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-380 Ab;Kepler-380 A;Раскаленный каменистый мир;2.25;1.19;7.38;1282;3.93;0.050;0.684;0.292;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-444 Ab;Kepler-444 A;Раскаленный каменистый мир;0.09;0.40;7.80;944;3.60;0.042;0.278;0.292;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1035 b;Kepler-1035;Раскаленный каменистый мир;1.86;1.17;6.40;1287;2.71;0.038;0.874;0.292;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1776 b;TOI-1776;Раскаленный каменистый мир;1.40;1.22;4.29;1269;2.80;0.038;0.689;0.292;Оригинал;Оригинал
Kepler-185 b;Kepler-185;Раскаленный каменистый мир;1.63;1.17;5.60;1286;1.63;0.026;0.964;0.292;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-189 b;K2-189;Раскаленный каменистый мир;3.51;1.40;7.00;1203;2.59;0.035;0.820;0.293;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KOI-6931 b;2MASS J19420054+4336355;Раскаленный каменистый мир;2.26;1.19;7.42;1274;2.54;0.037;0.677;0.293;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1149 b;Kepler-1149;Раскаленный каменистый мир;3.86;1.44;7.13;1187;3.73;0.047;0.803;0.293;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
